country_name,country_code,series_code,yr_2015,yr_2016,yr_2017,yr_2018,yr_2019
Seychelles,SYC,CHE,4.59000015258789,5.19000005722046,4.90999984741211,5.26999998092651,5.19000005722046
Sierra Leone,SLE,CHE,20.4099998474121,16.5300006866455,9.39999961853027,8.28999996185303,8.75
Somalia,SOM,CHE,NULL,NULL,NULL,NULL,NULL
South Africa,ZAF,CHE,8.78999996185303,8.81999969482422,8.72000026702881,8.85999965667725,9.10999965667725
South Sudan,SSD,CHE,NULL,NULL,8.23999977111816,6.28000020980835,6.03999996185303
Sudan,SDN,CHE,7.26999998092651,5.48000001907349,6.05999994277954,4.44000005722046,4.57000017166138
Eswatini,SWZ,CHE,7.05999994277954,6.82000017166138,6.98000001907349,7.26000022888184,6.78000020980835
Tanzania,TZA,CHE,3.65000009536743,3.96000003814697,4.07999992370605,4.15000009536743,3.82999992370605
Togo,TGO,CHE,4.96000003814697,5.34999990463257,6.48999977111816,6.09000015258789,5.73000001907349
Tunisia,TUN,CHE,6.61999988555908,6.6100001335144,6.84999990463257,6.82000017166138,6.96000003814697
Uganda,UGA,CHE,5.1100001335144,4.96999979019165,4,4.03000020980835,3.82999992370605
Zimbabwe,ZWE,CHE,7.44999980926514,7.67999982833862,7.46999979019165,8.68000030517578,7.69999980926514
Zambia,ZMB,CHE,4.44000005722046,4.48000001907349,4.38000011444092,5.03000020980835,5.30999994277954
Algeria,DZA,CAPHE,0.00999999977648258,NULL,NULL,NULL,NULL
Angola,AGO,CAPHE,NULL,NULL,NULL,NULL,NULL
Benin,BEN,CAPHE,0.180000007152557,NULL,NULL,NULL,NULL
Botswana,BWA,CAPHE,0.0199999995529652,0.180000007152557,0.129999995231628,NULL,NULL
Burkina Faso,BFA,CAPHE,0.200000002980232,0.159999996423721,0.370000004768372,0.349999994039536,0.230000004172325
Burundi,BDI,CAPHE,0.0900000035762787,0.28999999165535,NULL,NULL,NULL
Cameroon,CMR,CAPHE,0.569999992847443,NULL,0.469999998807907,0.419999986886978,0.46000000834465
Cabo Verde,CPV,CAPHE,0.810000002384186,0.370000004768372,NULL,NULL,NULL
Central African Republic,CAF,CAPHE,0.00999999977648258,0.0199999995529652,0.0299999993294477,0.200000002980232,NULL
Chad,TCD,CAPHE,NULL,NULL,NULL,NULL,NULL
Comoros,COM,CAPHE,0.0500000007450581,NULL,NULL,NULL,1.42999994754791
"Congo, Dem. Rep.",COD,CAPHE,0.170000001788139,0.159999996423721,0.109999999403954,0.0599999986588955,0.0900000035762787
